,Hillsborough,Manatee,Santa Rosa,Broward,Lee,Charlotte,Okaloosa,Volusia,Alachua,Collier,Nassau,Pasco,Pinellas,Miami-Dade,St. Johns,Clay,Duval,Palm Beach,Sarasota,Seminole,Orange,Osceola,Baker,Citrus,Escambia,Lake,Brevard,Polk,Leon,Sumter,Walton,Hernando,Indian River,Jackson,Martin,Monroe,Bay,Highlands,Marion,Putnam,St. Lucie,Bradford,Columbia,DeSoto,Flagler,Unknown,Gadsden,Washington,Levy,Suwannee,Hendry,Glades,Wakulla,Holmes,Calhoun,Union,Gulf,Hardee,Madison,Okeechobee,Franklin,Dixie,Jefferson,Hamilton,Gilchrist,Taylor,Lafayette,Liberty
2020-03-28,2,1,1,11,6,0,0,1,0,0,0,2,4,3,2,4,3,6,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-03-29,2,1,2,11,6,0,0,1,0,1,0,2,5,3,2,4,3,7,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2020-03-30,2,1,2,12,6,0,1,1,0,1,0,2,5,4,2,5,4,10,2,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-31,3,2,2,12,8,0,1,1,0,1,0,2,5,7,2,5,4,14,3,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
2020-04-01,3,3,2,13,10,0,1,1,0,1,0,2,5,11,2,5,4,22,3,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-02,5,3,2,17,10,0,1,1,0,2,0,2,6,20,2,6,9,27,7,0,4,4,0,2,0,2,0,2,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-03,5,3,2,22,11,1,1,1,0,2,0,2,7,25,2,6,9,33,7,0,6,4,0,2,0,2,0,3,0,3,0,0,0,0,0,1,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
2020-04-04,5,3,2,32,11,1,1,2,0,2,0,2,7,31,2,6,9,35,7,1,7,4,0,2,1,2,0,4,0,3,0,0,0,0,0,2,1,2,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-04-05,5,3,2,40,11,1,1,2,0,2,0,2,8,31,2,6,9,49,7,1,7,4,0,2,1,2,0,4,0,3,0,0,0,0,0,2,1,2,2,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-04-06,5,5,2,47,14,1,1,3,0,3,0,2,8,41,2,6,9,51,7,1,8,4,0,2,1,2,0,5,0,5,0,0,0,0,0,2,1,2,2,1,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020-04-07,7,7,2,54,14,1,1,3,0,3,0,2,9,47,2,7,10,64,7,1,9,4,1,2,2,2,2,5,0,7,0,1,0,0,0,2,1,2,2,1,6,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-04-08,7,8,2,60,14,1,1,3,0,3,0,2,10,50,2,7,10,69,8,1,10,4,1,5,3,2,2,6,0,7,0,1,0,0,1,3,1,4,2,1,6,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-04-09,9,11,2,67,14,4,1,5,0,3,0,2,10,66,2,7,11,75,10,1,12,5,2,6,3,2,2,7,0,7,0,1,0,0,1,3,1,4,2,1,6,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-04-10,12,13,3,72,16,5,1,6,0,3,0,2,12,84,2,8,11,79,10,2,11,5,2,6,3,3,2,8,0,9,0,2,1,0,3,3,1,4,2,1,6,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,15,13,3,76,16,5,1,7,0,4,0,2,12,93,2,8,13,80,12,2,12,5,2,6,3,4,3,8,0,9,0,2,1,0,3,3,1,5,2,1,6,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,16,13,4,76,16,5,1,7,0,4,0,3,13,97,2,8,13,81,12,2,12,5,2,6,3,4,4,8,0,9,0,2,1,0,3,3,1,5,3,1,6,1,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-13,16,15,4,77,18,5,1,7,0,5,0,3,13,109,2,9,13,92,14,2,12,5,2,7,3,4,6,9,0,9,0,2,1,0,3,3,1,5,3,1,7,1,0,3,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-14,18,19,4,81,19,5,1,7,0,5,0,3,14,143,2,9,14,103,16,2,17,5,2,7,4,4,6,10,0,9,0,2,1,0,4,3,2,5,3,1,8,1,0,3,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-15,18,19,4,94,23,6,1,8,0,5,0,3,14,155,3,9,14,107,17,2,18,5,2,8,4,5,6,10,0,11,0,2,1,0,4,3,2,6,3,1,8,1,0,3,2,,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-16,18,20,5,101,24,7,1,9,0,6,0,3,14,183,3,9,14,112,17,3,20,5,2,8,4,5,6,11,0,11,0,2,2,0,4,3,2,6,3,1,9,1,0,3,2,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-17,19,29,6,107,25,9,1,9,0,8,0,3,16,195,4,9,15,115,22,4,22,5,3,8,6,5,7,12,1,11,0,2,2,0,4,3,2,6,3,1,11,2,0,3,2,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-18,19,31,6,115,25,9,1,10,0,8,0,3,16,198,4,9,15,114,23,4,22,5,3,8,8,6,7,12,1,11,0,3,2,0,4,3,2,6,3,1,13,2,0,4,2,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-19,19,31,6,115,27,9,3,10,0,8,0,3,16,207,4,11,15,121,23,5,22,5,3,8,8,6,7,12,1,11,0,3,3,0,4,3,2,6,3,1,15,2,0,4,2,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-20,19,33,6,122,28,11,3,10,0,9,0,3,16,223,4,11,16,122,28,5,26,5,3,8,8,7,7,14,1,11,0,3,4,0,4,3,2,7,3,1,15,2,0,4,2,0,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-04-21,20,34,6,126,29,11,3,13,1,10,0,3,18,233,4,11,17,131,30,6,26,6,3,8,10,7,7,15,1,11,0,3,4,0,4,3,2,7,3,1,16,2,0,4,2,0,0,0,0,9,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-04-22,20,34,6,141,29,11,3,13,1,10,0,3,19,240,4,11,17,131,31,6,27,6,3,8,10,7,7,15,1,11,0,3,5,0,4,3,2,7,3,1,16,2,0,4,2,34,0,0,0,9,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-04-23,21,39,6,157,32,12,3,14,1,14,0,3,23,270,4,12,17,144,32,7,28,7,3,9,10,9,8,17,2,12,0,3,5,0,5,3,2,7,3,1,17,2,0,4,2,0,0,0,0,9,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-04-24,21,42,6,162,36,14,3,15,1,15,0,4,24,287,4,14,18,155,32,8,29,7,3,9,11,10,8,18,2,12,0,3,5,0,5,3,2,7,4,1,19,2,0,4,2,,0,0,0,10,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-25,21,42,6,162,36,14,3,15,1,15,0,4,24,295,4,14,18,155,32,8,29,7,3,9,11,10,8,18,2,12,0,3,5,0,5,3,2,7,4,1,19,2,0,4,2,0,0,0,0,11,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-26,21,42,6,170,37,14,3,17,2,15,0,4,24,301,4,13,18,155,32,8,29,7,3,11,11,10,8,18,2,12,0,3,5,0,5,3,2,7,4,1,19,2,0,4,2,,0,0,0,11,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-27,21,42,6,174,37,14,3,18,2,15,0,5,25,302,4,14,19,156,32,8,29,7,3,11,11,10,8,18,3,12,0,4,5,0,5,3,2,7,4,1,20,2,0,4,2,0,0,0,0,11,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-28,22,46,7,179,40,15,3,18,2,16,0,6,31,324,4,14,20,173,39,8,31,7,3,11,11,10,8,20,3,13,0,4,6,0,5,3,2,7,4,1,22,2,2,4,2,0,0,0,0,14,2,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-29,23,49,7,182,41,18,3,20,2,17,0,6,34,338,4,15,20,178,42,8,32,7,3,11,11,11,8,22,3,13,0,4,7,0,5,3,2,7,4,1,22,2,2,4,2,0,0,0,0,14,3,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-04-30,23,55,7,185,43,19,4,21,5,19,0,7,37,352,4,15,20,186,42,8,33,7,3,11,11,12,8,23,3,13,0,5,7,0,6,3,3,7,4,1,22,2,2,4,2,0,0,0,0,14,3,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-05-01,24,57,8,199,42,22,4,21,5,21,0,8,38,358,4,16,22,191,44,8,33,7,3,11,12,13,8,24,3,14,0,5,8,0,6,3,3,7,4,1,23,2,2,4,2,0,0,0,0,14,3,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-05-02,24,59,8,204,42,25,5,25,5,21,1,8,41,367,4,18,23,195,47,8,34,8,3,11,13,13,8,26,3,14,0,5,8,0,6,3,3,7,5,2,24,2,2,4,3,0,0,0,0,16,4,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-05-03,27,59,8,207,45,25,5,26,5,21,1,8,41,369,4,18,24,196,47,8,34,8,3,11,13,13,8,26,4,14,0,5,8,0,6,3,3,7,5,2,24,2,2,4,3,0,0,0,0,16,4,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-05-04,29,59,8,208,46,25,5,26,5,22,1,8,42,378,4,18,26,196,47,8,34,8,3,11,13,13,8,26,5,14,1,5,8,0,6,3,3,7,5,2,25,2,2,4,3,0,0,0,0,16,4,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2020-05-05,32,61,8,215,49,26,5,27,5,25,1,8,44,407,4,18,26,205,48,8,34,9,3,11,14,14,8,28,5,14,1,5,8,0,6,3,3,7,5,4,25,2,2,4,4,0,0,0,0,17,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
2020-05-06,33,64,8,219,54,29,5,27,5,27,1,8,50,432,4,19,26,215,49,8,35,11,3,11,15,14,8,30,6,14,1,5,8,0,6,3,3,7,5,4,25,2,2,4,4,0,0,0,0,17,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
2020-05-07,36,68,8,230,54,30,5,27,5,27,1,9,56,454,4,19,28,222,51,8,35,11,3,11,16,14,8,30,6,14,1,5,8,0,6,3,3,7,5,4,25,2,2,5,4,0,0,0,0,17,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
2020-05-08,37,72,9,248,62,31,5,28,5,27,1,9,59,468,4,19,29,229,54,10,34,12,3,11,18,14,9,31,6,14,1,5,8,0,6,3,3,8,5,4,25,2,2,5,3,0,0,0,0,18,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
2020-05-09,37,74,9,257,65,33,5,28,5,27,1,9,59,482,4,19,29,237,57,11,34,12,3,11,18,14,9,33,6,14,2,5,8,0,6,3,3,8,5,4,25,2,2,5,4,0,0,0,0,18,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
